Serial number;Course name;Author;Date;Version;Course_name;Cluster;1.3 Data in the Domain;Cluster_data_types
1;AI in Radiology  ;ABC;27-02-2025 00:00;1.0.0;Radiology     ;Medical & Health Sciences;   Types of Data:    Medical Images: X-rays, CT scans, MRIs, PET scans, ultrasounds (both 2D and 3D).    Structured Data: Patient demographics, medical history, lab results, radiology reports, and clinical notes (often stored in PACS - Picture Archiving and Communication Systems).    Image Metadata: Information associated with medical images, such as acquisition parameters, patient positioning, and imaging modality.    Annotation Data: Radiologist's annotations on medical images, indicating areas of interest (e.g., tumor locations, fractures).    Significance for AI Applications:    Medical images are the primary input for many AI algorithms used in radiology, allowing for the training of image recognition and analysis models.    Structured data is essential for contextualizing medical images and building more robust diagnostic models.    Image metadata ensures that AI models are trained on data with the correct parameters and can be generalized to different settings.    Annotation data is critical for training supervised learning models, enabling AI to accurately identify and segment regions of interest in images.    Understanding Data: Understanding the nuances of medical imaging modalities and data formats is crucial for selecting appropriate AI techniques and building effective models for radiological applications. ;"Image/Visual Data; Structured Data"
2;AI in Aerospace Engineering ;ABC;28-02-2025 00:00;1.0.0;Aerospace Engineering    ;"Engineering & Technology; Natural Sciences"; Types of Data:    Sensor Data: Real-time data from various sensors monitoring engine performance, structural integrity, environmental conditions, and flight parameters (e.g., pressure, temperature, vibration, acceleration).    Image Data: Satellite imagery, aerial photographs, and images from onboard cameras used for Earth observation, inspection, and navigation.    Telemetry Data: Data transmitted from spacecraft or aircraft, including status reports, sensor readings, and command confirmations.    Simulation Data: Data generated from computational fluid dynamics (CFD) and finite element analysis (FEA) simulations, crucial for design and optimization processes.    Historical Flight Data: Records of past flights, including flight paths, performance metrics, and maintenance logs.    Text Data: Technical documents, maintenance reports, and scientific papers.     Significance for AI Applications:    Sensor data is crucial for real-time monitoring, anomaly detection, and predictive maintenance.    Image data enables AI algorithms to perform visual analysis for earth observation, mapping, and object detection.    Telemetry data provides critical information for assessing system status and performance.    Simulation data allows for the development and testing of AI models in a controlled environment.    Historical flight data supports machine learning models for performance prediction, fault diagnosis, and flight planning.    Text data can be used for natural language processing to extract relevant information from technical reports and documents. ;"Image/Visual Data; Sensor/Time-Series Data; Simulation Data; Text Data"
3;AI in Agriculture ;ABC;01-03-2025 00:00;1.0.0;Agriculture    ;Applied Sciences & Vocational Fields;   Types of Data:    Satellite Images: Multi-spectral, hyperspectral, and thermal imagery for crop monitoring, soil analysis, and yield prediction.    Sensor Data: Real-time data from soil moisture sensors, weather stations, nutrient sensors, and IoT devices in fields.    Weather Data: Historical and real-time weather patterns, including temperature, rainfall, humidity, and solar radiation.    Crop Data: Historical yield data, planting dates, crop varieties, and growth stages.    Soil Data: Chemical composition, texture, pH, and microbial data.    Livestock Data: Individual animal data, including weight, health, and feeding patterns.    Market Data: Prices, demand, and trade information.    Significance for AI Applications:    Satellite and sensor data provide a comprehensive view of the agricultural landscape, enabling precise monitoring and targeted interventions.    Weather data is crucial for forecasting and planning, allowing for proactive adaptation to changing conditions.    Crop and soil data are essential for training machine learning models for yield prediction and optimized resource management.    Understanding data types and their relationships enables the use of appropriate AI techniques for specific agricultural problems. ;"Image/Visual Data; Sensor/Time-Series Data; Structured Data; Geospatial Data"
4;AI in Art and Design ;ABC;02-03-2025 00:00;1.0.0;Art and Design    ;Design & Creative Arts;   Types of Data:    Images: Photographs, paintings, sketches, and other visual representations.    Videos: Animations, films, and other time-based media.    3D Models: Digital representations of objects and environments.    Audio: Music, sound effects, and spoken word.    Text: Artistic statements, design briefs, and user feedback.    Design Specifications: Blueprints, CAD files, and other technical documents.    Significance for AI Applications:    Visual data enables the training of AI models for image generation, style transfer, and content analysis.    3D model data allows for AI-driven 3D design and animation.    Audio data is essential for AI-generated music and sound design.    Text data can be used for natural language generation and understanding in creative contexts.    Understanding the specific characteristics of art and design data allows for the development of targeted AI techniques and tools tailored to the creative domain. ;"Image/Visual Data; Audio Data; Text Data; Others"
5;AI in Astronomy ;ABC;03-03-2025 00:00;1.0.0;Astronomy    ;Natural Sciences;   Types of Data:    Image Data: Astronomical images from telescopes, including visible light, infrared, ultraviolet, and radio wavelengths.    Time-Series Data: Light curves from variable stars, transit signals from exoplanets, and data from other time-varying astronomical phenomena.    Spectroscopic Data: Spectral data of stars and other celestial objects, providing information about their chemical composition, temperature, and velocity.    Catalog Data: Large databases of astronomical objects with their properties, such as position, brightness, and type.    Simulation Data: Data generated from cosmological simulations or astrophysical models.    Significance for AI Applications:    Image data is essential for object classification and anomaly detection.    Time-series data is critical for exoplanet detection and variable star analysis.    Spectroscopic data enables detailed analysis of stellar properties and composition.    Catalog data provides structured information for training and validation of AI models.    Simulation data allows for testing and validating AI models against theoretical predictions.    Understanding this data enables targeted AI techniques:    Computer vision for image analysis.    Time-series analysis for detecting periodic signals.    Machine learning for classification and regression tasks. ;"Image/Visual Data; Sensor/Time-Series Data; Structured Data; Simulation Data"
6;AI in Biotechnology ;ABC;04-03-2025 00:00;1.0.0;Biotechnology    ;"Natural Sciences; Medical & Health Sciences";   Types of Data:    Genomic Data: DNA and RNA sequences, gene expression data, single nucleotide polymorphisms (SNPs).    Bioinformatics Datasets: Protein sequences, protein structures, metabolic pathways, drug-target interactions.    3D Molecular Structures: Atomic coordinates of proteins, nucleic acids, and small molecules.    Clinical Data: Patient records, drug response data, medical imaging.    Microscopy Images: Cell images, tissue samples, and other biological structures.    Significance for AI Applications:    Genomic data allows for the use of AI in identifying genetic causes of diseases and developing personalized therapies.    Bioinformatics datasets enable the prediction of protein functions, drug-target interactions, and metabolic pathways.    3D molecular structures are crucial for structure-based drug design and understanding molecular interactions.    Clinical data allows for AI-driven patient risk stratification and prediction of treatment outcomes.    Microscopy images enable AI algorithms to perform automated cellular analysis and pathology.    Data Understanding: Understanding the specific formats, quality control issues, and biological context of these data types is crucial for developing and applying effective AI models. ;"Genomic Data; Image/Visual Data; Structured Data"
7;AI in Electrical Engineering - Predictive Maintenance of Electrical Motors  ;ABC;05-03-2025 00:00;1.0.0;Electrical Engineering - Predictive Maintenance of Electrical Motors     ;"Engineering & Technology; Computer Science & Data; Applied Sciences & Vocational Fields";   Types of Data:    Structured Sensor Data:    Vibration data (acceleration, velocity, displacement) measured using accelerometers.    Temperature data from thermocouples or infrared sensors.    Current and voltage data from current and voltage sensors.    Magnetic field data from hall effect sensors.    Speed and load data from encoders and load cells.    Pressure data from pressure sensors (relevant for hydraulic systems).    Lubricant condition data from oil analysis sensors.    Operational Data: Run-time hours, number of starts/stops, environmental conditions.    Maintenance Logs: Records of previous repairs, replacements, and maintenance activities.    Motor Specifications: Nameplate data, design parameters, and performance curves.    Significance for AI Applications:    Sensor data provides the raw information for AI algorithms to learn patterns and detect anomalies.    Operational data contextualizes sensor readings and helps in understanding motor usage patterns.    Maintenance logs provide insights into past failures and the effectiveness of maintenance actions.    Motor specifications are essential for comparing actual performance with ideal performance and for understanding the design parameters.    Understanding Data: Enables selecting appropriate AI techniques like time-series analysis, classification, regression, and clustering. Helps to create targeted models for specific fault types and predictive tasks. ;"Sensor/Time-Series Data; Structured Data"
8;AI in Mechanical Engineering Design ;ABC;06-03-2025 00:00;1.0.0;Mechanical Engineering Design    ;"Engineering & Technology; Design & Creative Arts";   Types of Data:    Structured Data:    Motor performance data (torque, speed, efficiency, power curves).    Material properties (tensile strength, yield strength, density, thermal conductivity).    Test reports (results from mechanical tests, vibration analysis, fatigue tests).    Simulation results (FEA, CFD results).    CAD model data (geometric parameters, dimensions, tolerance).    Manufacturing process parameters (temperature, pressure, feed rate).    Unstructured Data:    Design specifications, engineering drawings, maintenance logs, failure reports.    Significance for AI Applications:    Structured data, when paired with simulation results, enables training of accurate surrogate models and optimization algorithms.    Test reports and performance data are crucial for predictive maintenance and performance prediction.    CAD data allows for AI to understand geometric constraints and optimize designs.    Understanding the Data: Understanding the physical significance of the data is crucial. The students need to connect the numerical data to the physical laws and understand how the data is generated to effectively use AI techniques. ;"Structured Data; Simulation Data; Text Data"
9;AI in Cybersecurity;ABC;07-03-2025 00:00;1.0.0;Cybersecurity ;"Engineering & Technology; Computer Science & Data";Types of Data: Network Logs: Packet captures, firewall logs, intrusion detection system (IDS) alerts, and network traffic metadata. System Logs: Operating system logs, application logs, and security event logs. User Behavior Data: Authentication logs, login times, activity patterns, and access control data. Security Alerts and Incidents: Historical data on security incidents, malware samples, and vulnerability reports. Structured Data: Databases of known malware signatures, vulnerability databases, and threat intelligence feeds. Unstructured Data: Security reports, research papers, and threat actor communications. Significance for AI Applications: Network logs provide insight into communication patterns and potential attack vectors. System logs reveal user and application activity, which can be analyzed for suspicious behavior. User behavior data helps establish a baseline of normal activity for anomaly detection. Structured data enables supervised learning techniques for classification and prediction. Unstructured data can be analyzed using natural language processing (NLP) for threat intelligence and insights. Understanding Data for Targeted AI: Understanding the characteristics, format, and semantics of these data types is critical for selecting appropriate AI techniques. For example, time-series data (logs) benefits from recurrent neural networks, whereas structured data may be suitable for decision trees or support vector machines. ;"Sensor/Time-Series Data; Structured Data; Text Data"
10;AI in Energy ;ABC;08-03-2025 00:00;1.0.0;Energy    ;"Engineering & Technology; Natural Sciences";Types of Data:    Time-Series Data: Energy consumption patterns, weather data (temperature, solar radiation, wind speed), power generation outputs, grid frequency, and voltage.    Geospatial Data: Location of power plants, substations, transmission lines, renewable energy resources, and consumer locations.    Sensor Data: Data from smart meters, SCADA systems, IoT devices monitoring equipment conditions, and environmental sensors.    Equipment Data: Operational parameters of power plants, renewable energy systems, and grid infrastructure.    Market Data: Energy prices, demand forecasts, and trading information.    Significance for AI Applications:    Time-series data is crucial for forecasting energy demand and optimizing grid operations.    Geospatial data is essential for planning renewable energy projects and grid infrastructure.    Sensor data enables real-time monitoring and predictive maintenance.    Understanding data types allows for targeted AI techniques such as time-series analysis, regression, classification, and reinforcement learning. ;"Sensor/Time-Series Data; Geospatial Data; Structured Data"
